,ClienteID,Idade,Sexo,Trab,Habitação,Conta Poupança,Conta Corrente,Montante de credito,Duração,Objetivo,Risco
225,225,27,Homem,2,Propria,Pequena,,2613,36,Reparos,Bom
226,226,27,Homem,2,Propria,rich,Moderada,10961,48,radio/TV,Ruim
227,227,53,Homem,3,Gratis,Pequena,Pequena,7865,12,Moveis/Equipamentos,Ruim
228,228,22,Homem,2,Propria,Pequena,,1478,9,radio/TV,Ruim
229,229,22,Homem,2,Gratis,Pequena,Pequena,3149,24,Moveis/Equipamentos,Bom
230,230,26,Homem,2,Propria,Pequena,Rico,4210,36,radio/TV,Ruim
231,231,51,Homem,1,Gratis,Muito Rica,,2507,9,Automovel,Bom
232,232,35,Homem,2,Propria,Moderada,,2141,12,radio/TV,Bom
233,233,25,Homem,1,Propria,Pequena,Moderada,866,18,radio/TV,Bom
234,234,42,Homem,1,Propria,Pequena,,1544,4,radio/TV,Bom
235,235,30,Homem,3,Propria,Pequena,Pequena,1823,24,radio/TV,Ruim
236,236,23,Homem,0,Propria,,Moderada,14555,6,Automovel,Ruim
237,237,61,Homem,1,Alugada,Moderada,Moderada,2767,21,Negocios,Ruim
238,238,35,Mulher,2,Propria,Pequena,,1291,12,radio/TV,Bom
239,239,39,Homem,2,Propria,Pequena,Pequena,2522,30,radio/TV,Bom
240,240,29,Mulher,2,Propria,,Pequena,915,24,Automovel,Ruim
241,241,51,Homem,2,Propria,Pequena,,1595,6,radio/TV,Bom
242,242,24,Homem,2,Gratis,Pequena,Pequena,4605,48,Automovel,Ruim
243,243,27,Mulher,2,Propria,Pequena,,1185,12,Negocios,Bom
244,244,35,Mulher,1,Propria,Muito Rica,,3447,12,Educação,Bom
245,245,25,Homem,2,Propria,Pequena,,1258,24,Negocios,Bom
246,246,52,Homem,2,Propria,Pequena,,717,12,radio/TV,Bom
247,247,35,Homem,2,Alugada,Moderada,,1204,6,Automovel,Bom
248,248,26,Homem,2,Propria,Pequena,Rico,1925,24,Moveis/Equipamentos,Bom
249,249,22,Mulher,2,Alugada,Pequena,,433,18,radio/TV,Ruim
250,250,39,Mulher,1,Propria,rich,Pequena,666,6,Automovel,Bom
251,251,46,Mulher,1,Propria,Pequena,Rico,2251,12,Moveis/Equipamentos,Bom
252,252,24,Mulher,2,Propria,Pequena,Moderada,2150,30,Automovel,Ruim
253,253,35,Homem,2,Propria,Moderada,,4151,24,Moveis/Equipamentos,Bom
254,254,24,Homem,2,Propria,,Moderada,2030,9,Moveis/Equipamentos,Bom
255,255,27,Homem,1,Propria,,Moderada,7418,60,radio/TV,Bom
256,256,35,Homem,1,Propria,Pequena,,2684,24,radio/TV,Bom
257,257,29,Homem,2,Gratis,Pequena,Pequena,2149,12,radio/TV,Ruim
258,258,23,Mulher,2,Propria,Moderada,,3812,15,Automovel,Bom
259,259,57,Mulher,1,Propria,Moderada,,1154,11,radio/TV,Bom
260,260,27,Homem,2,Propria,Pequena,Pequena,1657,12,Moveis/Equipamentos,Bom
261,261,55,Mulher,2,Propria,Pequena,Pequena,1603,24,radio/TV,Bom
262,262,36,Homem,3,Gratis,Pequena,Pequena,5302,18,Automovel,Bom
263,263,57,Mulher,1,Gratis,Pequena,,2748,12,Educação,Bom
264,264,32,Homem,1,Propria,Pequena,,1231,10,Automovel,Bom
265,265,37,Homem,2,Propria,Pequena,Moderada,802,15,radio/TV,Ruim
266,266,36,Homem,2,Propria,,,6304,36,Negocios,Bom
267,267,38,Mulher,2,Propria,Pequena,,1533,24,radio/TV,Bom
268,268,45,Homem,3,Propria,Pequena,Pequena,8978,14,Automovel,Ruim
269,269,25,Homem,2,Propria,,,999,24,radio/TV,Bom
270,270,32,Homem,2,Propria,,,2662,18,Automovel,Bom
271,271,37,Mulher,2,Alugada,Muito Rica,,1402,12,Moveis/Equipamentos,Bom
272,272,36,Homem,3,Gratis,,Moderada,12169,48,Automovel,Bom
273,273,28,Homem,2,Propria,Pequena,Moderada,3060,48,radio/TV,Ruim
274,274,34,Homem,1,Propria,Pequena,Pequena,11998,30,Reparos,Ruim
275,275,32,Homem,2,Propria,Pequena,,2697,9,radio/TV,Bom
276,276,26,Mulher,2,Propria,Pequena,,2404,18,radio/TV,Bom
277,277,49,Homem,1,Propria,,Pequena,1262,12,Moveis/Equipamentos,Bom
278,278,32,Mulher,2,Propria,Pequena,,4611,6,Moveis/Equipamentos,Ruim
279,279,29,Homem,3,Alugada,Moderada,,1901,24,radio/TV,Bom
280,280,23,Homem,2,Alugada,rich,,3368,15,Automovel,Bom
281,281,50,Homem,2,Propria,Pequena,,1574,12,Moveis/Equipamentos,Bom
282,282,49,Homem,1,Propria,,Rico,1445,18,radio/TV,Bom
283,283,63,Homem,2,Propria,,,1520,15,Moveis/Equipamentos,Bom
284,284,37,Homem,2,Propria,Moderada,Moderada,3878,24,Automovel,Bom
285,285,35,Mulher,1,Propria,Pequena,Pequena,10722,47,Automovel,Bom
286,286,26,Homem,2,Propria,Pequena,Pequena,4788,48,Automovel,Bom
287,287,31,Homem,3,Gratis,Moderada,Moderada,7582,48,Ferias/Outros,Bom
288,288,49,Mulher,2,Propria,Pequena,Moderada,1092,12,radio/TV,Bom
289,289,48,Homem,2,Propria,Pequena,Pequena,1024,24,radio/TV,Ruim
290,290,26,Homem,2,Propria,Pequena,,1076,12,Negocios,Bom
291,291,28,Homem,3,Alugada,Pequena,Moderada,9398,36,Automovel,Ruim
292,292,44,Mulher,3,Gratis,Pequena,Pequena,6419,24,Automovel,Bom
293,293,56,Homem,2,Gratis,Pequena,Rico,4796,42,Automovel,Bom
294,294,46,Homem,3,Propria,,,7629,48,Negocios,Bom
295,295,26,Mulher,2,Propria,Pequena,Moderada,9960,48,Moveis/Equipamentos,Ruim
296,296,20,Mulher,2,Alugada,,,4675,12,Automovel,Bom
297,297,45,Homem,1,Propria,,,1287,10,Automovel,Bom
298,298,43,Homem,2,Propria,Pequena,,2515,18,Moveis/Equipamentos,Bom
299,299,32,Homem,2,Propria,rich,Moderada,2745,21,Moveis/Equipamentos,Bom
300,300,54,Mulher,0,Propria,Pequena,,672,6,Automovel,Bom
301,301,42,Mulher,2,Propria,Pequena,Moderada,3804,36,radio/TV,Ruim
302,302,37,Homem,1,Propria,,Rico,1344,24,Automovel,Ruim
303,303,49,Homem,2,Propria,Pequena,Pequena,1038,10,Automovel,Bom
304,304,44,Homem,2,Gratis,Muito Rica,,10127,48,Automovel,Ruim
305,305,33,Homem,2,Propria,rich,,1543,6,Moveis/Equipamentos,Bom
306,306,24,Mulher,1,Alugada,,,4811,30,Automovel,Bom
307,307,33,Homem,1,Propria,Moderada,Pequena,727,12,radio/TV,Ruim
308,308,24,Mulher,2,Propria,Pequena,Moderada,1237,8,Moveis/Equipamentos,Ruim
309,309,22,Homem,1,Alugada,Pequena,Moderada,276,9,Automovel,Bom
310,310,40,Homem,0,Gratis,,Moderada,5381,48,Ferias/Outros,Bom
311,311,25,Homem,2,Propria,Moderada,,5511,24,Moveis/Equipamentos,Bom
312,312,26,Mulher,2,Propria,Pequena,Rico,3749,24,Moveis/Equipamentos,Bom
313,313,25,Homem,1,Propria,Pequena,Moderada,685,12,Automovel,Ruim
314,314,29,Homem,1,Propria,,Rico,1494,4,Automovel,Bom
315,315,31,Homem,2,Propria,Pequena,Pequena,2746,36,Moveis/Equipamentos,Ruim
316,316,38,Homem,1,Propria,Pequena,Pequena,708,12,Moveis/Equipamentos,Bom
317,317,48,Mulher,1,Propria,,Moderada,4351,24,Moveis/Equipamentos,Bom
318,318,32,Homem,2,Propria,Pequena,,701,12,Educação,Bom
319,319,27,Mulher,1,Propria,Pequena,Pequena,3643,15,Moveis/Equipamentos,Bom
320,320,28,Homem,3,Propria,Pequena,Moderada,4249,30,Automovel,Ruim
321,321,32,Homem,2,Propria,Pequena,Pequena,1938,24,radio/TV,Ruim
322,322,34,Homem,3,Gratis,Pequena,Pequena,2910,24,Automovel,Bom
323,323,28,Homem,2,Propria,rich,Pequena,2659,18,Moveis/Equipamentos,Bom
324,324,36,Mulher,2,Propria,Pequena,,1028,18,Automovel,Bom
325,325,39,Homem,1,Propria,Pequena,Pequena,3398,8,Automovel,Bom
326,326,49,Homem,2,Alugada,,,5801,12,Moveis/Equipamentos,Bom
327,327,34,Mulher,2,Propria,rich,,1525,24,Automovel,Bom
328,328,31,Homem,2,Propria,Pequena,Rico,4473,36,radio/TV,Bom
329,329,28,Homem,2,Propria,Pequena,Moderada,1068,6,radio/TV,Bom
330,330,75,Homem,3,Gratis,Pequena,Pequena,6615,24,Automovel,Bom
331,331,30,Mulher,2,Propria,Moderada,,1864,18,Educação,Ruim
332,332,24,Mulher,3,Propria,Moderada,Moderada,7408,60,Automovel,Ruim
333,333,24,Mulher,1,Alugada,Moderada,,11590,48,Automovel,Ruim
334,334,23,Homem,2,Alugada,Pequena,Pequena,4110,24,Moveis/Equipamentos,Ruim
335,335,44,Homem,3,Alugada,Pequena,Pequena,3384,6,Moveis/Equipamentos,Ruim
336,336,23,Mulher,1,Propria,Pequena,Moderada,2101,13,radio/TV,Bom
337,337,24,Mulher,2,Alugada,,Pequena,1275,15,Eletrodomesticos,Ruim
338,338,28,Homem,2,Propria,Pequena,Pequena,4169,24,Moveis/Equipamentos,Bom
339,339,31,Homem,1,Propria,Pequena,Moderada,1521,10,Moveis/Equipamentos,Bom
340,340,24,Mulher,2,Gratis,Pequena,Moderada,5743,24,Educação,Bom
341,341,26,Mulher,1,Alugada,Pequena,Pequena,3599,21,Moveis/Equipamentos,Bom
342,342,25,Homem,2,Alugada,Muito Rica,Moderada,3213,18,radio/TV,Bom
343,343,33,Homem,3,Propria,Pequena,Moderada,4439,18,Negocios,Bom
344,344,37,Homem,1,Propria,Pequena,Rico,3949,10,Automovel,Bom
